n,j,mult
6,1,0:558|7:93
6,5,0:558|7:93
10,1,0:61380|1:68076|2:33015|3:8370|4:2325|5:930|7:155
10,3,0:60915|1:73346|2:24645|3:9765|4:5580
10,7,0:62310|1:66526|2:33170|3:8525|4:2790|5:930
10,9,0:57195|1:76756|2:28520|3:7905|4:2790|5:930|6:155
14,1,0:16423386|1:16637762|2:8003667|3:2773680|4:732536|5:130683|6:24003|7:5334
14,3,0:16319373|1:16720439|2:8113903|3:2681224|4:749427|5:138684|6:8001
14,5,0:16598519|1:16339947|2:8166354|3:2675001|4:757428|5:161798|6:29337|7:2667
14,9,0:16248253|1:16867124|2:8009001|3:2771902|4:679196|5:122682|6:30226|7:2667
14,11,0:16236696|1:16786225|2:8169021|3:2717673|4:683641|5:107569|6:30226
14,13,0:16310483|1:16619982|2:8302371|3:2633218|4:742315|5:104013|6:16002|8:2667
