n,d1,d2,i,multiplicities
4,7,-1,0,1:35
5,7,-1,0,1:155
5,11,-1,0,1:155
6,7,-1,0,0:558|7:93
7,7,-1,0,1:2667
7,19,-1,0,1:2667
7,21,-1,0,1:2667
8,7,-1,0,1:10795
8,37,-1,0,1:10795
8,19,104,1,0:3740|1:3995|2:2465|3:510|4:85
9,7,-1,0,0:37230|7:6205
9,21,-1,0,0:37230|7:6205
9,35,-1,0,0:37230|7:6205
10,7,-1,0,1:174251
10,73,-1,0,1:174251
10,7,100,31,0:57195|1:76756|2:28520|3:7905|4:2790|5:930|6:155
10,7,193,31,0:61380|1:68076|2:33015|3:8370|4:2325|5:930|7:155
10,73,352,31,0:62310|1:66526|2:33170|3:8525|4:2790|5:930
10,73,259,31,0:60915|1:73346|2:24645|3:9765|4:5580
11,7,-1,0,1:698027
11,21,-1,0,1:698027
11,67,-1,0,1:698027
11,73,-1,0,1:698027
11,137,-1,0,1:698027
12,7,-1,0,0:2394990|7:399165
12,133,-1,0,0:2394990|7:399165
13,7,-1,0,1:11180715
13,21,-1,0,1:11180715
13,73,-1,0,1:11180715
13,131,-1,0,1:11180715
13,265,-1,0,1:11180715
13,273,-1,0,1:11180715
14,7,-1,0,1:44731051
14,73,-1,0,1:44731051
14,529,-1,0,1:44731051
14,7,769,127,0:16423386|1:16637762|2:8003667|3:2773680|4:732536|5:130683|6:24003|7:5334
14,7,388,127,0:16310483|1:16619982|2:8302371|3:2633218|4:742315|5:104013|6:16002|8:2667
14,73,4864,127,0:17661673|1:15439690|2:7484196|3:2809562|4:936335|5:287360|6:83052|7:21826|8:5685|9:1270|10:310|11:73|12:14|13:2|14:3
14,73,9217,127,0:16319373|1:16720439|2:8113903|3:2681224|4:749427|5:138684|6:8001
14,529,2053,127,0:16248253|1:16867124|2:8009001|3:2771902|4:679196|5:122682|6:30226|7:2667
15,7,-1,0,0:153377646|7:25562941
15,21,-1,0,0:153377646|7:25562941
15,259,-1,0,0:153377646|7:25562941
15,273,-1,0,0:153377646|7:25562941
